participantID,BlockType, randColour, randOri, randSize, TestCondition, Response, trialResult, RT(ms) ,
BO20160610,5,2,1,2,2,1,1,547, 
BO20160610,5,2,2,1,1,2,1,560, 
BO20160610,5,2,2,2,1,2,1,533, 
BO20160610,5,1,1,2,2,1,1,1626, 
BO20160610,5,2,1,1,1,2,1,626, 
BO20160610,5,1,2,1,1,1,1,493, 
BO20160610,5,2,2,1,2,2,1,613, 
BO20160610,5,2,2,2,2,2,1,747, 
BO20160610,5,1,1,2,1,1,1,533, 
BO20160610,5,2,1,1,1,2,1,493, 
BO20160610,5,2,2,2,1,2,1,453, 
BO20160610,5,1,2,1,1,2,0,587, 
BO20160610,5,2,2,2,1,2,1,627, 
BO20160610,5,1,2,2,1,1,1,560, 
BO20160610,5,2,2,1,1,2,1,693, 
BO20160610,5,1,2,2,2,1,0,893, 
BO20160610,5,2,2,2,2,2,1,786, 
BO20160610,5,2,2,2,2,2,1,666, 
BO20160610,5,1,1,1,1,1,1,840, 
BO20160610,5,1,2,2,2,2,1,1546, 
BO20160610,5,1,2,1,2,1,0,813, 
BO20160610,5,2,1,1,2,2,0,1173, 
BO20160610,5,2,1,2,2,1,1,600, 
BO20160610,5,2,2,1,1,2,1,1173, 
BO20160610,5,2,1,2,2,2,0,1600, 
BO20160610,5,1,2,2,1,1,1,533, 
BO20160610,5,1,1,2,1,1,1,506, 
BO20160610,5,2,1,2,1,2,1,440, 
BO20160610,5,1,2,2,1,1,1,520, 
BO20160610,5,2,1,1,2,2,0,773, 
BO20160610,5,1,2,2,1,1,1,826, 
BO20160610,5,2,1,1,1,2,1,427, 
BO20160610,5,1,2,1,2,2,1,533, 
BO20160610,5,1,2,2,1,1,1,760, 
BO20160610,5,2,1,2,1,2,1,493, 
BO20160610,5,1,2,1,2,2,1,626, 
BO20160610,5,2,1,1,1,2,1,533, 
BO20160610,5,1,2,2,1,1,1,587, 
BO20160610,5,1,2,2,1,1,1,800, 
BO20160610,5,2,2,2,2,2,1,467, 
BO20160610,5,1,2,1,2,2,1,440, 
BO20160610,5,2,1,1,1,2,1,546, 
BO20160610,5,1,2,1,1,1,1,440, 
BO20160610,5,1,2,2,1,2,0,600, 
BO20160610,5,1,2,1,2,2,1,800, 
BO20160610,5,2,2,1,2,1,0,573, 
